1,9,5,5,3,2,1,8,7,8,3.251,5.646,2.979
1,3,3,3,1,3,2,8,7,8,3.625,4.161,5.394
1,8,4,5,3,1,2,5,5,3,3.285,4.636,5.032
1,6,4,4,1,3,2,2,1,2,3.019,4.82,6.335
1,1,3,3,1,3,2,5,5,5,2.351,3.269,2.285
1,2,3,3,1,3,2,5,5,2,2.401,6.27,4.532
1,10,6,7,3,1,2,4,3,4,2.101,3.535,8.734
1,7,4,4,1,2,3,8,7,8,2.201,2.567,3.566
1,5,3,3,1,3,2,8,8,8,2.083,4.233,6.303
1,4,3,3,3,1,2,1,1,3,2.969,2.57,6.868
2,4,3,3,2,3,1,1,2,1,2.667,5.468,5.833
2,2,3,3,2,3,1,4,4,4,1.503,7.301,4.566
2,6,4,4,2,1,3,3,2,2,1.851,3.335,1.968
2,5,3,3,3,1,2,4,6,6,1.634,2.634,3.233
2,7,4,4,1,3,2,7,7,8,3.933,2.233,3.2
2,10,6,7,1,3,2,2,1,1,3.668,4.583,2.771
2,9,5,5,3,1,2,7,7,7,2.867,1.568,1.468
2,8,4,5,2,1,3,4,4,4,2.284,4.802,2.768
2,1,3,3,3,1,2,6,7,7,1.701,0.967,3.519
2,3,3,3,3,2,1,8,8,8,2.851,1.535,3.201
3,5,3,3,1,2,3,8,7,7,2.867,2.468,2.887
3,9,5,5,3,2,1,8,8,8,1.701,2.57,2.402
3,8,4,5,1,3,2,3,2,2,2.134,2.132,2.168
3,6,4,4,2,3,1,1,1,1,2.302,2.667,1.467
3,10,6,7,2,3,1,2,2,1,1.901,2.601,3.535
3,2,3,3,1,3,2,4,4,4,2.018,1.136,1.569
3,1,3,3,1,3,2,7,7,7,1.883,1.368,1.119
3,4,3,3,1,2,3,2,1,1,1.116,3.668,1.501
3,7,4,4,2,1,3,6,5,4,0.999,2.934,1.202
3,3,3,3,2,3,1,8,7,8,1.634,1.067,2.102
4,7,4,4,3,1,2,8,8,8,1.669,1.436,2.968
4,9,5,5,3,1,2,7,7,7,2.136,1.769,2.5
4,2,3,3,3,2,1,7,7,7,1.187,2.302,2.401
4,1,3,3,3,2,1,7,8,7,2.368,1.636,2.35
4,3,3,3,3,1,2,7,7,8,1.95,1.701,1.634
4,10,6,7,2,1,3,1,2,3,2.0,4.768,1.967
4,4,3,3,1,3,2,7,6,6,2.967,1.069,1.735
4,8,4,5,3,2,1,2,2,2,1.635,3.303,1.968
4,5,3,3,1,2,3,5,5,5,4.217,2.735,2.234
4,6,4,4,2,1,3,2,1,1,2.518,4.734,4.201
